Age,Income,CreditScore,Experience,LoanAmount,Approved
25,30000,650,2,100000,0
32,45000,700,5,150000,1
40,60000,720,10,200000,1
28,35000,680,3,120000,0
50,90000,800,20,300000,1
23,28000,600,1,90000,0
36,52000,710,8,180000,1
45,75000,780,15,250000,1
29,40000,690,4,130000,0
41,62000,730,12,210000,1
27,32000,660,3,110000,0
38,58000,720,9,190000,1
48,85000,790,18,270000,1
30,42000,700,5,140000,1
26,31000,670,2,105000,0
35,56000,710,7,175000,1
44,72000,760,14,240000,1
31,46000,705,6,155000,1
39,59000,725,10,195000,1
42,64000,740,11,220000,1
24,29000,640,1,95000,0
33,48000,710,6,160000,1
37,54000,715,8,185000,1
46,78000,770,16,260000,1
34,50000,700,7,170000,1
28,36000,680,3,125000,0
49,87000,800,19,290000,1
43,69000,750,13,230000,1
21,25000,610,1,85000,0
52,92000,810,22,310000,1
25,30500,655,2,102000,0
32,45500,705,5,152000,1
40,60500,725,10,202000,1
28,35500,685,3,122000,0
50,90500,805,20,302000,1
23,28500,605,1,92000,0
36,52500,715,8,182000,1
45,75500,785,15,252000,1
29,40500,695,4,132000,0
41,62500,735,12,212000,1
27,32500,665,3,112000,0
38,58500,725,9,192000,1
48,85500,795,18,272000,1
30,42500,705,5,142000,1
26,31500,675,2,107000,0
35,56500,715,7,177000,1
44,72500,765,14,242000,1
31,46500,710,6,157000,1
39,59500,730,10,197000,1
42,64500,745,11,222000,1
24,29500,645,1,97000,0
33,48500,715,6,162000,1
37,54500,720,8,187000,1
46,78500,775,16,262000,1
34,50500,705,7,172000,1
28,36500,685,3,127000,0
49,87500,805,19,292000,1
43,69500,755,13,232000,1
21,25500,615,1,87000,0
52,92500,815,22,312000,1
25,31000,660,2,104000,0
32,46000,710,5,154000,1
40,61000,730,10,204000,1
28,36000,690,3,124000,0
50,91000,810,20,304000,1
23,29000,610,1,94000,0
36,53000,720,8,184000,1
45,76000,790,15,254000,1
29,41000,700,4,134000,0
41,63000,740,12,214000,1
27,33000,670,3,114000,0
38,59000,730,9,194000,1
48,86000,800,18,274000,1
30,43000,710,5,144000,1
26,32000,680,2,109000,0
35,57000,720,7,179000,1
44,73000,770,14,244000,1
31,47000,715,6,159000,1
39,60000,735,10,199000,1
42,65000,750,11,224000,1
24,30000,650,1,98000,0
33,49000,720,6,164000,1
37,55000,725,8,189000,1
46,79000,780,16,264000,1
34,51000,710,7,174000,1
28,37000,690,3,129000,0
49,88000,810,19,294000,1
43,70000,760,13,234000,1
21,26000,620,1,88000,0
52,93000,820,22,315000,1
